id,name,city,municipality,postal_code
12-de-diciembre-960,12 DE DICIEMBRE,Puebla,Puebla,
13-de-abril-468,13 DE ABRIL,Puebla,Puebla,
15-de-septiembre-483,15 DE SEPTIEMBRE,Puebla,Puebla,
16-de-septiembre-150,16 DE SEPTIEMBRE,Puebla,Puebla,
16-de-septiembre-sur-128,16 DE SEPTIEMBRE SUR,Puebla,Puebla,
18-de-junio---nueva-san-salvador-1244,18 DE JUNIO - NUEVA SAN SALVADOR,Puebla,Puebla,
18-de-marzo-1095,18 DE MARZO,Puebla,Puebla,
19-de-diciembre-1189,19 DE DICIEMBRE,Puebla,Puebla,
1a-seccion-rancho-colorado-105,1a SECCION RANCHO COLORADO,Puebla,Puebla,
1ro-de-mayo-821,1RO DE MAYO,Puebla,Puebla,
20-de-noviembre-151,20 DE NOVIEMBRE,Puebla,Puebla,
20-de-noviembre-1342,20 DE NOVIEMBRE,Puebla,Puebla,
22-de-septiembre-9,22 DE SEPTIEMBRE,Puebla,Puebla,
25-zona-militar-145,25 ZONA MILITAR,Puebla,Puebla,
2a-ampliacion-guadalupe-hidalgo-443,2a AMPLIACION GUADALUPE HIDALGO,Puebla,Puebla,
2da-ampliacion-playas-del-sur-1245,2DA AMPLIACION PLAYAS DEL SUR,Puebla,Puebla,
2-de-abril-65,2 DE ABRIL,Puebla,Puebla,
2-de-marzo-313,2 DE MARZO,Puebla,Puebla,
2-de-octubre-432,2 DE OCTUBRE,Puebla,Puebla,
3a-ampliacion-guadalupe-hidalgo-446,3a AMPLIACION GUADALUPE HIDALGO,Puebla,Puebla,
3a-seccion-de-bugambilias-109,3a SECCION DE BUGAMBILIAS,Puebla,Puebla,
5-de-mayo-1047,5 DE MAYO,Puebla,Puebla,
5-de-mayo-234,5 DE MAYO,Puebla,Puebla,
6227-1323,6227,Puebla,Puebla,
6-de-enero-1752,6 DE ENERO,Puebla,Puebla,
6-de-junio-961,6 DE JUNIO,Puebla,Puebla,
8-de-diciembre-301,8 DE DICIEMBRE,Puebla,Puebla,
acueducto-1217,ACUEDUCTO,Puebla,Puebla,
agapanthus-1501,AGAPANTHUS,Puebla,Puebla,
agaves-i-1647,AGAVES I,Puebla,Puebla,
agaves-ii-1301,AGAVES II,Puebla,Puebla,
agricola-ignacio-zaragoza-718,AGRICOLA IGNACIO ZARAGOZA,Puebla,Puebla,
agricola-resurgimiento-1648,AGRICOLA RESURGIMIENTO,Puebla,Puebla,
agua-santa-808,AGUA SANTA,Puebla,Puebla,
agua-santa-424,AGUA SANTA,Puebla,Puebla,
alamedas-1105,ALAMEDAS,Puebla,Puebla,
alamedas-2-(conjunto-encino)-77,ALAMEDAS 2 (CONJUNTO ENCINO),Puebla,Puebla,
alamo-695,ALAMO,Puebla,Puebla,
alamos-328,ALAMOS,Puebla,Puebla,
alberto-de-la-fuente-27,ALBERTO DE LA FUENTE,Puebla,Puebla,
albizia-1599,ALBIZIA,Puebla,Puebla,
aldama-257,ALDAMA,Puebla,Puebla,
alejandra-1372,ALEJANDRA,Puebla,Puebla,
alexa-1201,ALEXA,Puebla,Puebla,
alianza-popular-782,ALIANZA POPULAR,Puebla,Puebla,
allegro-1543,ALLEGRO,Puebla,Puebla,
almenares-cholollan-577,ALMENARES CHOLOLLAN,Puebla,Puebla,
alpha-2-370,ALPHA 2,Puebla,Puebla,
alpha-4-887,ALPHA 4,Puebla,Puebla,
alseseca-2,ALSESECA,Puebla,Puebla,
altamira-1409,ALTAMIRA,Puebla,Puebla,
alta-vista-1684,ALTA VISTA,Puebla,Puebla,
alta-vista-748,ALTA VISTA,Puebla,Puebla,
alta-vista-697,ALTA VISTA,Puebla,Puebla,
altavista-1689,ALTAVISTA,Puebla,Puebla,
alto-refugio-1184,ALTO REFUGIO,Puebla,Puebla,
altos-san-francisco-1032,ALTOS SAN FRANCISCO,Puebla,Puebla,
alvaro-obregon-494,ALVARO OBREGON,Puebla,Puebla,
amalucan-1171,AMALUCAN,Puebla,Puebla,
amaluquilla-1101,AMALUQUILLA,Puebla,Puebla,
amanalco-193,AMANALCO,Puebla,Puebla,
amanalco-537,AMANALCO,Puebla,Puebla,
amaya-privada-1487,AMAYA PRIVADA,Puebla,Puebla,
ambar-rdcial-1690,AMBAR RDCIAL,Puebla,Puebla,
america-norte-263,AMERICA NORTE,Puebla,Puebla,
america-sur-42,AMERICA SUR,Puebla,Puebla,
ameyalco-1097,AMEYALCO,Puebla,Puebla,
amor-84,AMOR,Puebla,Puebla,
ampliacin-las-torres-1642,AMPLIACIN LAS TORRES,Puebla,Puebla,
ampliacion-18-de-marzo-770,AMPLIACION 18 DE MARZO,Puebla,Puebla,
ampliacion-2-de-marzo-1122,AMPLIACION 2 DE MARZO,Puebla,Puebla,
ampliacion-4a-seccion-san-bernabe-temoxtitla-1002,AMPLIACION 4a SECCION SAN BERNABE TEMOXTITLA,Puebla,Puebla,
ampliacion-6-de-junio-1661,AMPLIACION 6 DE JUNIO,Puebla,Puebla,
ampliacion-arboledas-de-loma-bella-473,AMPLIACION ARBOLEDAS DE LOMA BELLA,Puebla,Puebla,
ampliacion-balcones-del-sur-458,AMPLIACION BALCONES DEL SUR,Puebla,Puebla,
ampliacion-bosques-de-la-ca├▒ada-543,AMPLIACION BOSQUES DE LA CA├æADA,Puebla,Puebla,
ampliacion-constitucion-mexicana-453,AMPLIACION CONSTITUCION MEXICANA,Puebla,Puebla,
ampliacion-coyopotrero-1480,AMPLIACION COYOPOTRERO,Puebla,Puebla,
ampliacion-cuarta-de-san-ramon-1786,AMPLIACION CUARTA DE SAN RAMON,Puebla,Puebla,
ampliacion-edgardo-almicar-campos-1639,AMPLIACION EDGARDO ALMICAR CAMPOS,Puebla,Puebla,
ampliacion-el-conde-1592,AMPLIACION EL CONDE,Puebla,Puebla,
ampliacion-flores-del-pedregal-1246,AMPLIACION FLORES DEL PEDREGAL,Puebla,Puebla,
ampliacion-granjas-puebla-704,AMPLIACION GRANJAS PUEBLA,Puebla,Puebla,
ampliacion-guadalupe-hidalgo-780,AMPLIACION GUADALUPE HIDALGO,Puebla,Puebla,
ampliacion-historiadores-513,AMPLIACION HISTORIADORES,Puebla,Puebla,
ampliacion-jardines-de-juan-bosco-519,AMPLIACION JARDINES DE JUAN BOSCO,Puebla,Puebla,
ampliacion-la-resurreccion-957,AMPLIACION LA RESURRECCION,Puebla,Puebla,
ampliacion-lomas-de-castillotla-436,AMPLIACION LOMAS DE CASTILLOTLA,Puebla,Puebla,
ampliacion-mexico-83-1238,AMPLIACION MEXICO 83,Puebla,Puebla,
ampliacion-mexico-83-1617,AMPLIACION MEXICO 83,Puebla,Puebla,
ampliacion-miravalle-562,AMPLIACION MIRAVALLE,Puebla,Puebla,
ampliacion-nueva-democracia-1780,AMPLIACION NUEVA DEMOCRACIA,Puebla,Puebla,
ampliacion-playas-del-sur-563,AMPLIACION PLAYAS DEL SUR,Puebla,Puebla,
ampliacion-primero-de-mayo-943,AMPLIACION PRIMERO DE MAYO,Puebla,Puebla,
ampliacion-revolucion-mexicana-803,AMPLIACION REVOLUCION MEXICANA,Puebla,Puebla,
ampliacion-san-lorenzo-805,AMPLIACION SAN LORENZO,Puebla,Puebla,
ampliacion-santa-catarina-1484,AMPLIACION SANTA CATARINA,Puebla,Puebla,
ampliacion-santa-catarina-1678,AMPLIACION SANTA CATARINA,Puebla,Puebla,
ampliacion-seda-monsanto-176,AMPLIACION SEDA MONSANTO,Puebla,Puebla,
ampliacion-signoret-2a-seccion-1682,AMPLIACION SIGNORET 2A SECCION,Puebla,Puebla,
ampliacion-union-antorchista-1782,AMPLIACION UNION ANTORCHISTA,Puebla,Puebla,
amp-los-cerritos-553,AMP LOS CERRITOS,Puebla,Puebla,
amp-vista-hermosa-1111,AMP VISTA HERMOSA,Puebla,Puebla,
analco-1265,ANALCO,Puebla,Puebla,
anda-lucia-1715,ANDA LUCIA,Puebla,Puebla,
andreas-1321,ANDREAS,Puebla,Puebla,
andreas-1489,ANDREAS,Puebla,Puebla,
anexo-quetzalcoatl-852,ANEXO QUETZALCOATL,Puebla,Puebla,
angeles-1309,ANGELES,Puebla,Puebla,
angeles-del-sur-939,ANGELES DEL SUR,Puebla,Puebla,
angeles-de-morillotla-1387,ANGELES DE MORILLOTLA,Puebla,Puebla,
angeles-de-puebla-1486,ANGELES DE PUEBLA,Puebla,Puebla,
angelopolis-1412,ANGELOPOLIS,Puebla,Puebla,
antigua-hacienda-1758,ANTIGUA HACIENDA,Puebla,Puebla,
antiguo-rancho-francisco-villa---bella-vista-24,ANTIGUO RANCHO  FRANCISCO VILLA - BELLA VISTA,Puebla,Puebla,
antorchista---col-la-antorchita-713,ANTORCHISTA - COL LA ANTORCHITA,Puebla,Puebla,
antura-el-matte-962,ANTURA EL MATTE,Puebla,Puebla,
anzures-17,ANZURES,Puebla,Puebla,
aquiles-serdan-1771,AQUILES SERDAN,Puebla,Puebla,
aquiles-serdan-67,AQUILES SERDAN,Puebla,Puebla,
aquiles-serdan-89,AQUILES SERDAN,Puebla,Puebla,
arandano-rdcial-1697,ARANDANO RDCIAL,Puebla,Puebla,
ara-paseos-del-angel-1451,ARA PASEOS DEL ANGEL,Puebla,Puebla,
arboledas-de-amalucan-1179,ARBOLEDAS DE AMALUCAN,Puebla,Puebla,
arboledas-de-guadalupe-273,ARBOLEDAS DE GUADALUPE,Puebla,Puebla,
arboledas-de-guadalupe-seccion-fuentes-275,ARBOLEDAS DE GUADALUPE SECCION FUENTES,Puebla,Puebla,
arboledas-de-loma-bella-131,ARBOLEDAS DE LOMA BELLA,Puebla,Puebla,
arboledas-del-sur-866,ARBOLEDAS DEL SUR,Puebla,Puebla,
arboledas-de-xilotzingo-878,ARBOLEDAS DE XILOTZINGO,Puebla,Puebla,
arboledas-de-zavaleta-1664,ARBOLEDAS DE ZAVALETA,Puebla,Puebla,
arboledas-san-ignacio-1574,ARBOLEDAS SAN IGNACIO,Puebla,Puebla,
arcangeles-de-morillotla-1208,ARCANGELES DE MORILLOTLA,Puebla,Puebla,
arcangeles-xaltepec-1405,ARCANGELES XALTEPEC,Puebla,Puebla,
arcangel-san-rafael-1225,ARCANGEL SAN RAFAEL,Puebla,Puebla,
arcoiris-888,ARCOIRIS,Puebla,Puebla,
arcoiris-963,ARCOIRIS,Puebla,Puebla,
arcos-del-sur-1345,ARCOS DEL SUR,Puebla,Puebla,
arenas-ii-1552,ARENAS II,Puebla,Puebla,
armonia-1322,ARMONIA,Puebla,Puebla,
articulo-123-717,ARTICULO 123,Puebla,Puebla,
arts-rdcial-1468,ARTS RDCIAL,Puebla,Puebla,
asis-1736,ASIS,Puebla,Puebla,
asuncion-alseseca-1710,ASUNCION ALSESECA,Puebla,Puebla,
atlas-1014,ATLAS,Puebla,Puebla,
atlixcayotl-2000-i-1282,ATLIXCAYOTL 2000 I,Puebla,Puebla,
atlixcayotl-2000-(magisterio)-1280,ATLIXCAYOTL 2000 (MAGISTERIO),Puebla,Puebla,
atoyac-1747,ATOYAC,Puebla,Puebla,
atzala-1057,ATZALA,Puebla,Puebla,
atzala-1544,ATZALA,Puebla,Puebla,
atzala-1088,ATZALA,Puebla,Puebla,
atzala-1062,ATZALA,Puebla,Puebla,
atzcapozalco-55,ATZCAPOZALCO,Puebla,Puebla,
axoxoca-807,AXOXOCA,Puebla,Puebla,
azteca-1170,AZTECA,Puebla,Puebla,
azteca-1582,AZTECA,Puebla,Puebla,
azteca-262,AZTECA,Puebla,Puebla,
azul-residencial-849,AZUL RESIDENCIAL,Puebla,Puebla,
balam-1542,BALAM,Puebla,Puebla,
balcones-del-sur-457,BALCONES DEL SUR,Puebla,Puebla,
banamex-269,BANAMEX,Puebla,Puebla,
banco-de-material-228,BANCO DE MATERIAL,Puebla,Puebla,
banco-de-puebla-29,BANCO DE PUEBLA,Puebla,Puebla,
banderas-1685,BANDERAS,Puebla,Puebla,
bandini-10,BANDINI,Puebla,Puebla,
banus-504,BANUS,Puebla,Puebla,
barranca-honda-183,BARRANCA HONDA,Puebla,Puebla,
barreal-diamante-918,BARREAL DIAMANTE,Puebla,Puebla,
barrio-real-681,BARRIO REAL,Puebla,Puebla,
barrios-de-arboledas-134,BARRIOS DE ARBOLEDAS,Puebla,Puebla,
barrios-de-santa-catarina-743,BARRIOS DE SANTA CATARINA,Puebla,Puebla,
belen-1475,BELEN,Puebla,Puebla,
belisario-dominguez-1138,BELISARIO DOMINGUEZ,Puebla,Puebla,
bellas-artes-1401,BELLAS ARTES,Puebla,Puebla,
bella-vista-23,BELLA VISTA,Puebla,Puebla,
bella-vista-1255,BELLA VISTA,Puebla,Puebla,
benito-juarez-1121,BENITO JUAREZ,Puebla,Puebla,
benito-juarez-645,BENITO JUAREZ,Puebla,Puebla,
benito-juarez-364,BENITO JUAREZ,Puebla,Puebla,
bicentenario-1085,BICENTENARIO,Puebla,Puebla,
blue-towers-1292,BLUE TOWERS,Puebla,Puebla,
boscaje-closter-a-1652,BOSCAJE CLOSTER A,Puebla,Puebla,
bosque-de-atoyac-1271,BOSQUE DE ATOYAC,Puebla,Puebla,
bosques-5-de-febrero-155,BOSQUES 5 DE FEBRERO,Puebla,Puebla,
bosques-de-amalucan-1161,BOSQUES DE AMALUCAN,Puebla,Puebla,
bosques-de-amalucan-galaxia-1248,BOSQUES DE AMALUCAN GALAXIA,Puebla,Puebla,
bosques-de-angelopolis-1456,BOSQUES DE ANGELOPOLIS,Puebla,Puebla,
bosques-de-chapultepec-1240,BOSQUES DE CHAPULTEPEC,Puebla,Puebla,
bosques-de-chapultepec-2-1523,BOSQUES DE CHAPULTEPEC 2,Puebla,Puebla,
bosques-de-chapultepec-4-(closter-cedro)-1718,BOSQUES DE CHAPULTEPEC 4 (CLOSTER CEDRO),Puebla,Puebla,
bosques-de-chapultepec-4-(closter-cipres)-1719,BOSQUES DE CHAPULTEPEC 4 (CLOSTER CIPRES),Puebla,Puebla,
bosques-de-chapultepec-4-(closter-encino)-1692,BOSQUES DE CHAPULTEPEC 4 (CLOSTER ENCINO),Puebla,Puebla,
bosques-de-chapultepec-4-(closter-fresno)-1694,BOSQUES DE CHAPULTEPEC 4 (CLOSTER FRESNO),Puebla,Puebla,
bosques-de-chapultepec-4-(closter-oyamel)-1693,BOSQUES DE CHAPULTEPEC 4 (CLOSTER OYAMEL),Puebla,Puebla,
bosques-de-la-calera-659,BOSQUES DE LA CALERA,Puebla,Puebla,
bosques-de-la-ca├▒ada-517,BOSQUES DE LA CA├æADA,Puebla,Puebla,
bosques-de-los-angeles-310,BOSQUES DE LOS ANGELES,Puebla,Puebla,
bosques-de-los-heroes-puebla-959,BOSQUES DE LOS HEROES PUEBLA,Puebla,Puebla,
bosques-del-pedregal-1520,BOSQUES DEL PEDREGAL,Puebla,Puebla,
bosques-del-pilar-1164,BOSQUES DEL PILAR,Puebla,Puebla,
bosques-de-manzanilla-300,BOSQUES DE MANZANILLA,Puebla,Puebla,
bosques-de-san-sebastian-1722,BOSQUES DE SAN SEBASTIAN,Puebla,Puebla,
bosques-de-santa-anita-302,BOSQUES DE SANTA ANITA,Puebla,Puebla,
bosques-de-zavaleta-1676,BOSQUES DE ZAVALETA,Puebla,Puebla,
bosques-morillotla-1352,BOSQUES MORILLOTLA,Puebla,Puebla,
bosques-reserva-1158,BOSQUES RESERVA,Puebla,Puebla,
britania-la-calera-1527,BRITANIA LA CALERA,Puebla,Puebla,
