Código Postal,Asentamiento,Tipo de Asentamiento,Municipio,Estado,Ciudad,
75820,La Calavera,Colonia,Santiago Miahuatlán,Puebla,,
75820,Villa Alegría,Colonia,Santiago Miahuatlán,Puebla,,
75820,San Pedro Villa Alegría,Colonia,Santiago Miahuatlán,Puebla,,
75820,Santa Clara,Colonia,Santiago Miahuatlán,Puebla,,
75820,12 de Diciembre,Colonia,Santiago Miahuatlán,Puebla,,
75820,Santiago Miahuatlán,Pueblo,Santiago Miahuatlán,Puebla,,
72227,15 de Septiembre,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72230,16 de Septiembre Norte,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72474,16 de Septiembre Sur,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72570,22 de Septiembre,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72710,15 de Septiembre,Colonia,Cuautlancingo,Puebla,,
73909,Primero de Septiembre,Ranchería,Tlatlauquitepec,Puebla,,
74135,Unidad 13 de Septiembre,Colonia,San Salvador el Verde,Puebla,,
72227,6 de Junio,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72227,8 de Diciembre,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72040,Rancho Colorado,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72230,Veinte de Noviembre,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72980,20 de Noviembre,Colonia,Amozoc,Puebla,Amozoc,
75980,20 de Noviembre,Colonia,Coxcatlán,Puebla,,
72490,2da. Ampliación Guadalupe Hidalgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72495,Ampliación Playas del Sur,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72380,Dos de Abril,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72110,2a. Sección Club de Golf las Fuentes,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72227,Ampliación Rivera de Aparicio Segunda Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,San Miguel Xonacatepec 2da. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72267,Arboledas Sección Fuentes,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques de Amalucan 1ra. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques de Amalucan 2da. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72350,Rosales 1a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72350,Rosales 2a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72390,El Encinar 1ra. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72390,El Encinar 2a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72420,Gabriel Pastor 1a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72425,Gabriel Pastor 2a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
75159,Alhuelica (Sección Quinta de Actipan),Fraccionamiento,Acatzingo,Puebla,,
75205,Primera Sección Santiago Acatlán,Ranchería,Tepeaca,Puebla,,
75320,Primera Sección,Colonia,Huehuetlán el Grande,Puebla,,
75512,Encrucijada Primera Sección,Ranchería,Palmar de Bravo,Puebla,,
75512,Encrucijada Segunda Sección,Ranchería,Palmar de Bravo,Puebla,,
72464,Mateo Sección San José Maravillas,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
75710,Constituyentes 2a Sección,Colonia,Tehuacán,Puebla,Tehuacán,
75710,Constituyentes 3a Sección,Colonia,Tehuacán,Puebla,Tehuacán,
75718,Aeropuerto 2a Sección,Colonia,Tehuacán,Puebla,Tehuacán,
75719,El Edén 2a Sección,Colonia,Tehuacán,Puebla,Tehuacán,
72490,San Ramón 1a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,San Ramón 2a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,San Ramón 3a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,San Ramón 4a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,Hacienda el Cobre 3a. Sección,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72492,INFONAVIT San Miguel Mayorazgo 1a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
75740,Del Valle 2a Sección,Colonia,Tehuacán,Puebla,Tehuacán,
75740,Del Valle 3a Sección,Colonia,Tehuacán,Puebla,Tehuacán,
72494,Santa Lucía 4 2da. Sección,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72494,Hacienda el Cobre 2a. Sección,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72494,Hacienda San José 3a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72495,Hacienda las Fuentes 2a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72498,Jardines de Castillotla 5a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
75763,El Riego 1a Sección,Colonia,Tehuacán,Puebla,Tehuacán,
72498,San Isidro Castillotla Sección A,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72503,Bandini Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
